Table 1: Total Sales of Goods Produced and Services Provided ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,% Change,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,15/16,Jul-16
Manufacturing & Other Industry (including Primary Production),€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,%,%
"Agriculture, Fishing, Forestry, Mining & Quarrying",14,5,0,1,1,1,2,6,6,5,8,3,8,3,6,8,7,7,-9,17
"Food, Drink & Tobacco","4,161","4,440","4,563","6,301","5,743","5,994","6,646","6,409","7,907","6,790","5,823","5,735","7,020","6,993","7,826","7,863","7,901","7,994",0,23
"Textiles, Clothing, Footware & Leather",355,343,311,231,184,177,95,76,31,27,31,26,7,7,6,4,2,2,-62,-98
Wood & Wood Products,225,243,216,205,220,238,249,283,209,135,147,212,170,236,197,200,213,205,7,-25
Paper & Printing,382,352,355,392,360,294,289,226,253,226,156,140,143,116,97,107,139,119,30,-39
Chemicals,"18,658","20,998","27,644","25,090","26,994","28,633","27,954","31,427","32,021","36,113","39,686","41,093","38,123","33,588","32,722","39,365","41,714","42,792",6,33
Rubber & Plastics,759,738,745,818,894,877,980,960,934,836,923,948,965,999,"1,015","1,241","1,283","1,372",3,34
Non-Metalic Minerals,572,604,571,488,503,402,413,420,336,236,332,319,286,272,276,290,309,312,7,-26
Basic & Fabricated Metal Products,800,794,724,715,646,649,776,758,894,421,692,738,736,717,718,803,734,870,-9,-3
"Computer, Electronic & Optical Products","19,630","19,331","16,023","14,949","16,033","16,265","20,184","19,499","18,776","9,107","8,234","8,983","9,084","8,561","9,349","12,101","12,904","12,903",7,-34
Electrical equipment,977,"1,183",866,650,996,"1,263","1,033","1,089",991,468,561,567,599,541,530,792,"1,034","1,013",30,-5
Machinery & Equipment,"1,662","1,809","1,581","1,749","1,543","1,593","1,514","1,529","1,333",994,"1,126","1,293","1,371","1,473","1,642","1,970","2,037","1,967",3,33
Transport Equipment,758,804,744,743,704,715,845,959,857,559,745,849,857,849,786,808,814,821,1,-15
Medical Device Manufacturing,"3,298","4,423","4,667","5,290","5,502","6,089","5,221","5,758","6,338","6,850","7,343","8,323","8,858","8,632","8,746","8,737","8,995","9,214",3,56
Other Misc. Manufacturing,256,265,251,226,246,268,229,248,245,235,226,230,252,266,257,304,306,319,1,23
Sub Total,"52,509","56,330","59,261","57,848","60,569","63,459","66,429","69,649","71,133","63,004","66,033","69,461","68,480","63,252","64,172","74,593","78,391","79,910",5,13
"Energy, Water, Waste & Construction",,,,,,,,,,,,,,,,,,,,
Energy,23,27,31,25,16,19,44,86,68,32,32,43,43,43,45,44,40,35,-10,-53
Recycling & Waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Construction (Excl. EI Amendments),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Construction (EI Amendments),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub Total,23,27,31,25,16,19,44,86,68,32,32,43,43,43,45,44,40,35,-10,-53
"Information, Communications & Other Services",,,,,,,,,,,,,,,,,,,,
"Publishing, Broadcasting & Telecommunications",75,73,80,103,117,86,61,48,40,43,43,46,47,73,132,181,170,274,-6,254
     Computer Programming,"20,896","22,271","21,813","23,333","22,323","21,574","23,949","24,457","26,487","25,916","27,185","31,701","36,194","38,426","41,957","45,101","47,144","47,445",5,93
