Table 1: Total Sales of Goods Produced and Services Provided (including sales to the dairy board),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,% Change,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,15/16,Jul-16
Manufacturing & Other Industry (including Primary Production),€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,€ m,%,%
"Agriculture, Fishing, Forestry, Mining & Quarrying",426,491,548,477,388,332,478,370,346,335,369,398,377,394,444,463,472,481,2,28
"Food, Drink & Tobacco","9,157","9,471","9,459","8,700","8,921","9,265","9,411","10,927","10,614","9,053","9,542","10,768","10,986","12,301","13,132","13,085","13,130","14,025",0,20
"Textiles, Clothing, Footware & Leather",583,609,553,358,309,275,296,324,315,273,268,329,338,367,390,447,481,507,8,49
Wood & Wood Products,574,712,629,742,832,821,846,717,530,361,402,518,434,578,774,915,872,945,-5,22
Paper & Printing,613,619,588,528,518,492,527,543,500,437,391,518,498,514,560,613,588,661,-4,8
Chemicals,322,368,395,305,334,365,358,409,428,341,359,437,522,500,535,600,646,682,8,58
Rubber & Plastics,598,588,608,571,608,708,766,857,773,566,573,651,620,654,697,753,788,838,5,-8
Non-Metalic Minerals,"1,299","1,287","1,400","1,462","1,578","1,673","1,998","2,169","1,810","1,047",864,861,832,827,"1,094","1,311","1,354","1,418",3,-38
Basic & Fabricated Metal Products,956,946,920,950,"1,000","1,081","1,234","1,235","1,364",906,768,846,777,882,"1,045","1,189","1,323","1,452",11,7
"Computer, Electronic & Optical Products",715,668,453,523,403,459,498,519,468,447,449,435,504,571,495,652,769,809,18,48
Electrical equipment,369,361,306,338,363,358,409,367,391,324,324,400,481,489,591,699,780,853,12,113
Machinery & Equipment,761,694,673,640,704,767,877,"1,025","1,038",749,730,847,959,974,"1,091","1,151","1,240","1,403",8,21
Transport Equipment,132,122,143,94,102,109,124,128,141,107,112,146,128,149,165,172,214,225,24,67
Medical Device Manufacturing,65,78,97,101,28,34,39,51,55,59,69,63,100,89,92,112,133,160,19,163
Other Misc. Manufacturing,541,580,580,596,612,611,646,622,607,397,329,337,340,360,444,550,594,659,8,-5
Sub Total,"17,109","17,593","17,353","16,384","16,702","17,350","18,505","20,261","19,379","15,403","15,550","17,552","17,898","19,648","21,547","22,710","23,386","25,118",3,15
"Energy, Water, Waste & Construction",,,,,,,,,,,,,,,,,,,,
Energy,0,0,0,0,0,0,5,9,9,11,24,48,51,37,40,54,60,79,11,603
Recycling & Waste,22,50,24,22,61,96,302,376,337,346,360,435,424,213,243,254,262,269,3,-30
Construction (Excl. EI Amendments),814,851,870,907,"1,047","1,221","1,450","1,476","1,626","1,037",634,311,348,490,629,747,856,"1,015",15,-42
Construction (EI Amendments),"1,684","1,684","2,056","1,929","2,248","2,503","2,909","3,339","4,067","3,116","2,241","2,480","2,358","2,622","2,829","3,198","3,869","4,239",21,16
Sub Total,"2,520","2,585","2,950","2,859","3,356","3,820","4,666","5,199","6,039","4,510","3,259","3,275","3,181","3,361","3,741","4,253","5,048","5,602",19,-3
"Information, Communications & Other Services",,,,,,,,,,,,,,,,,,,,
"Publishing, Broadcasting & Telecommunications",179,208,190,166,150,180,198,326,267,264,352,371,391,437,522,640,663,756,4,103
     Computer Programming,0,4,4,4,5,8,5,11,11,20,32,31,62,53,72,90,104,162,16,813
